Biome,Surface Count,Surface %,Subsurface Count,Subsurface %,First X,First Z
ABYSSAL_ALLEYS,16927100,2.5829,16903630,2.5793,-407776,-404640
ACACIA_CAVERNS,0,0.0000,25770367,3.9322,-407648,-409600
ALIEN_MARSH,1641569,0.2505,0,0.0000,-406368,-401312
ALPINE_ASCENDANCY,1243118,0.1897,0,0.0000,-408928,-409312
AMETHYST_HOLLOW,0,0.0000,8662346,1.3218,-405632,-407424
ANDESITE_MINES,0,0.0000,8619330,1.3152,-405984,-409088
ARCTIC_ARCHES,1323221,0.2019,239597,0.0366,-405952,-400128
ARCTIC_MESA,866246,0.1322,130854,0.0200,-409216,-398304
ARID_ARBORETUM,1550008,0.2365,1224849,0.1869,-407424,-392448
ARID_PALE_GARDEN,663056,0.1012,0,0.0000,-406496,-361248
ARID_SPIKES,3437352,0.5245,0,0.0000,-405568,-408672
ASPEN_FOREST,2542064,0.3879,9,0.0000,-407616,-406880
AUTUMNAL_CAVERNS,0,0.0000,17274346,2.6359,-407936,-409568
AUTUMNAL_WOODLANDS,2096518,0.3199,376,0.0001,-406240,-405760
AZALEA_FOREST,2988913,0.4561,0,0.0000,-408704,-404128
BADLANDS,1743688,0.2661,0,0.0000,-405760,-408864
BADLANDS_BALCONIES,1742823,0.2659,0,0.0000,-407104,-400832
BADLANDS_BUTTES,2255463,0.3442,0,0.0000,-405696,-409440
BAMBOO_BASIN,1547739,0.2362,1328685,0.2027,-408320,-387808
BAMBOO_JUNGLE,3829976,0.5844,0,0.0000,-405696,-392160
BARE_BOULDERFIELDS,913473,0.1394,769392,0.1174,-406720,-409600
BEACH,2166256,0.3305,0,0.0000,-408864,-407520
BIRCH_CAVERNS,0,0.0000,17235902,2.6300,-405696,-409600
BIRCH_FOREST,2932734,0.4475,1,0.0000,-408960,-407968
BIRCH_WOODLANDS,3143166,0.4796,530,0.0001,-405536,-403200
BITTER_HEIGHTS,1660496,0.2534,186189,0.0284,-407904,-376064
BLACK_ARID_PALE_GARDEN,349755,0.0534,0,0.0000,-405792,-304448
BLACK_DESERT_BOG,601033,0.0917,0,0.0000,-409600,-302304
BLACK_FOREST,4104122,0.6262,38,0.0000,-408992,-409600
BLACK_SAND_BEACH,2179812,0.3326,18879,0.0029,-407616,-404960
BOREAL_EXTINCT_VOLCANO,2085497,0.3182,0,0.0000,-409600,-407136
BOREAL_MESA,3156915,0.4817,1304,0.0002,-408896,-406240
BOREAL_SHRUBLAND,2536183,0.3870,6,0.0000,-408128,-406816
BOREAL_SINKHOLE,403305,0.0615,0,0.0000,-406016,-374848
BOREAL_SINKHOLE_BORDER,1092027,0.1666,981647,0.1498,-406112,-374912
BROADLEAF_FOREST,4736392,0.7227,0,0.0000,-409152,-405216
CANOPY_CASCADES,5516800,0.8418,0,0.0000,-405568,-392384
CARVING_CREAKS,2392872,0.3651,2092772,0.3193,-407232,-403680
CHAPARRAL,5485886,0.8371,0,0.0000,-409600,-408320
CLOUD_FOREST,6408141,0.9778,0,0.0000,-407296,-403680
COLD_DEEP_DEPTHS,2607250,0.3978,2283561,0.3484,-409504,-406848
COLD_DEEP_DEPTHS_TRENCH,78130,0.0119,68501,0.0105,-409504,-400928
COLD_DEEP_OCEAN,2713644,0.4141,2381745,0.3634,-409600,-401056
COLD_DEEP_OCEAN_VENTS,75189,0.0115,42734,0.0065,-408352,-401568
COLD_DESERT_MESA,3820366,0.5829,5893,0.0009,-408512,-405824
COLD_EXTINCT_VOLCANO,504431,0.0770,0,0.0000,-408064,-335136
COLD_ISLAND_SHALLOWS,998522,0.1524,523046,0.0798,-409600,-407232
COLD_OCEAN,7651391,1.1675,4323890,0.6598,-409600,-406464
COLD_OCEAN_OVERHANGS,150443,0.0230,30817,0.0047,-407552,-399424
COLD_OCEAN_SLOPES,7761046,1.1842,4454077,0.6796,-409472,-406816
COLD_OCEAN_TRENCH,152253,0.0232,85981,0.0131,-409600,-404704
COLD_SINKHOLE,98863,0.0151,0,0.0000,-409024,-400512
COLD_SINKHOLE_BORDER,265721,0.0405,233491,0.0356,-409088,-400480
COLD_STEPPE,2574432,0.3928,5,0.0000,-406560,-407264
CORAL_COVES,0,0.0000,8613672,1.3143,-405696,-407936
CORAL_OCEAN,2970565,0.4533,1694948,0.2586,-409600,-395872
CORAL_OCEAN_SLOPES,3082332,0.4703,1762112,0.2689,-407552,-404000
CORAL_OCEAN_TRENCH,88082,0.0134,50323,0.0077,-409600,-395840
DARK_FOREST,4742125,0.7236,0,0.0000,-405760,-406560
DARK_OAK_CAVERNS,0,0.0000,17231023,2.6292,-408000,-409600
DARK_OAK_WOODLANDS,2846379,0.4343,465,0.0001,-408288,-405984
DEEP_DARK,0,0.0000,9977511,1.5224,-408672,-409600
DEEP_DARK_GROVE,0,0.0000,2555123,0.3899,-407712,-409152
DEEP_DEPTHS,2480323,0.3785,2167291,0.3307,-407968,-402912
DEEP_DEPTHS_TRENCH,74194,0.0113,64900,0.0099,-408096,-402848
DEEP_OCEAN,2480046,0.3784,2167572,0.3307,-408896,-403520
DENSELY_WOODED_HIGHLANDS,1241066,0.1894,0,0.0000,-408320,-409536
DESERT,4056142,0.6189,0,0.0000,-406464,-408736
DESERT_EXTINCT_VOLCANO,1128219,0.1722,0,0.0000,-408544,-391328
DESERT_MESA,2607173,0.3978,9,0.0000,-405664,-409120
DESERT_PILLARS,415645,0.0634,0,0.0000,-409248,-319040
DESERT_SINKHOLE,312907,0.0477,0,0.0000,-406656,-408576
DESERT_SINKHOLE_BORDER,858818,0.1310,0,0.0000,-406720,-408672
DESERT_SPIKES,411762,0.0628,0,0.0000,-409600,-388320
DESERT_SPIKES_BLACK,3989845,0.6088,0,0.0000,-408576,-389600
DESERT_SPIKES_GOLD,3504849,0.5348,0,0.0000,-406912,-408288
DESERT_TERRACES,396568,0.0605,0,0.0000,-409600,-388544
DIKSAM_PLATEAU,820914,0.1253,0,0.0000,-408512,-390560
DIORITE_MINES,0,0.0000,8598852,1.3121,-409600,-409088
DRIPSTONE_BARRENS,674947,0.1030,516584,0.0788,-408736,-399392
DRY_FIR_FIELDS,5319248,0.8117,7,0.0000,-406464,-409376
DRY_PALM_FOREST,1523629,0.2325,0,0.0000,-407296,-384480
DRY_TEMPERATE_MOUNTAINS,2044071,0.3119,0,0.0000,-406400,-409376
DRY_TEMPERATE_WHITE_MOUNTAINS,1951165,0.2977,0,0.0000,-408128,-409248
DRY_WOODLANDS,3955928,0.6036,0,0.0000,-405632,-393728
DRYBRUSH,2153671,0.3286,0,0.0000,-405728,-409600
ENCHANTED_CAVERNS,0,0.0000,17249507,2.6321,-408096,-409216
ENCHANTED_WOODLANDS,465746,0.0711,0,0.0000,-406720,-354624
ERUPTED_VOLCANO,3480130,0.5310,0,0.0000,-405600,-409600
FIR_FIELDS,1576376,0.2405,1,0.0000,-406976,-405856
FIR_HIGHLANDS,605208,0.0923,191,0.0000,-407712,-391808
FIRMIHIN_FOREST,1848462,0.2821,0,0.0000,-406688,-409024
FLOWERING_FOREST,4474113,0.6827,0,0.0000,-405536,-406592
FOLIAGE_FORTRESS_INNER,254376,0.0388,0,0.0000,-406400,-404000
FOLIAGE_FORTRESS_MIDDLE,1361479,0.2077,0,0.0000,-406336,-404064
FOLIAGE_FORTRESS_OUTER,1908838,0.2913,0,0.0000,-406368,-404096
FOSSILIZED_FENLANDS,4387536,0.6695,22,0.0000,-408416,-409600
FRIGID_WASTELANDS,2515210,0.3838,501,0.0001,-409056,-409600
FROSTBOUND_CHASMS,568814,0.0868,434366,0.0663,-406144,-354528
FROSTCOATED_BOG,3317675,0.5062,0,0.0000,-405696,-400320
