Biome,Surface Count,Surface %,Subsurface Count,Subsurface %,First X,First Z
ABYSSAL_ALLEYS,17275343,2.6360,17251624,2.6324,-407776,-404640
ACACIA_CAVERNS,0,0.0000,25887423,3.9501,-407648,-409600
ALIEN_MARSH,1333266,0.2034,0,0.0000,-406912,-409504
ALPINE_ASCENDANCY,1403874,0.2142,0,0.0000,-409408,-375392
AMETHYST_HOLLOW,0,0.0000,8706117,1.3284,-405632,-407424
ANDESITE_MINES,0,0.0000,8656941,1.3209,-405984,-409088
ARCTIC_ARCHES,1529658,0.2334,278855,0.0425,-405952,-400128
ARCTIC_MESA,983888,0.1501,132247,0.0202,-409216,-398304
ARID_ARBORETUM,1541796,0.2353,1223338,0.1867,-406912,-408896
ARID_PALE_GARDEN,663072,0.1012,0,0.0000,-406496,-361248
ARID_SPIKES,3857544,0.5886,0,0.0000,-405568,-408672
ASPEN_FOREST,3041796,0.4641,2,0.0000,-409344,-408064
AUTUMNAL_CAVERNS,0,0.0000,17353042,2.6479,-407936,-409568
AUTUMNAL_WOODLANDS,1916436,0.2924,226,0.0000,-406240,-405760
AZALEA_FOREST,2992599,0.4566,0,0.0000,-408704,-404128
BADLANDS,1957649,0.2987,0,0.0000,-405760,-408864
BADLANDS_BALCONIES,1525245,0.2327,0,0.0000,-407104,-400832
BADLANDS_BUTTES,2521298,0.3847,0,0.0000,-405696,-409440
BAMBOO_BASIN,1157683,0.1766,996624,0.1521,-408320,-387808
BAMBOO_JUNGLE,2243441,0.3423,0,0.0000,-407680,-383264
BARE_BOULDERFIELDS,1134056,0.1730,960382,0.1465,-409056,-409600
BEACH,2244063,0.3424,0,0.0000,-409152,-405024
BIRCH_CAVERNS,0,0.0000,17320322,2.6429,-405696,-409600
BIRCH_FOREST,3101631,0.4733,0,0.0000,-406048,-409600
BIRCH_WOODLANDS,2883882,0.4400,350,0.0001,-405536,-403200
BITTER_HEIGHTS,1883945,0.2875,186279,0.0284,-409600,-386336
BLACK_ARID_PALE_GARDEN,349724,0.0534,0,0.0000,-405792,-304448
BLACK_DESERT_BOG,676877,0.1033,0,0.0000,-409600,-324352
BLACK_FOREST,4142800,0.6321,7,0.0000,-409024,-407136
BLACK_SAND_BEACH,2180154,0.3327,18878,0.0029,-407616,-404960
BOREAL_EXTINCT_VOLCANO,2343108,0.3575,0,0.0000,-409600,-407136
BOREAL_MESA,3565428,0.5440,1064,0.0002,-408896,-406240
BOREAL_SHRUBLAND,3413221,0.5208,3,0.0000,-409600,-408320
BOREAL_SINKHOLE,450835,0.0688,0,0.0000,-406016,-374848
BOREAL_SINKHOLE_BORDER,1221758,0.1864,1098108,0.1676,-406112,-374912
BROADLEAF_FOREST,3504530,0.5347,0,0.0000,-409184,-405216
CANOPY_CASCADES,4503440,0.6872,0,0.0000,-405568,-392384
CARVING_CREAKS,2392854,0.3651,2092697,0.3193,-407232,-403680
CHAPARRAL,3986868,0.6083,0,0.0000,-407232,-407200
CLOUD_FOREST,4155426,0.6341,0,0.0000,-405984,-384160
COLD_DEEP_DEPTHS,2935957,0.4480,2571146,0.3923,-409504,-406848
COLD_DEEP_DEPTHS_TRENCH,87837,0.0134,76909,0.0117,-409504,-400928
COLD_DEEP_OCEAN,3043842,0.4645,2670441,0.4075,-409600,-401056
COLD_DEEP_OCEAN_VENTS,84477,0.0129,47987,0.0073,-406048,-403360
COLD_DESERT_MESA,4351625,0.6640,4786,0.0007,-408512,-405824
COLD_EXTINCT_VOLCANO,581097,0.0887,0,0.0000,-408064,-335136
COLD_ISLAND_SHALLOWS,1121473,0.1711,587398,0.0896,-409600,-407232
COLD_OCEAN,8603101,1.3127,4861783,0.7418,-409600,-406464
COLD_OCEAN_OVERHANGS,166669,0.0254,34880,0.0053,-407552,-399424
COLD_OCEAN_SLOPES,8717610,1.3302,4999564,0.7629,-409472,-406816
COLD_OCEAN_TRENCH,171110,0.0261,96406,0.0147,-409600,-404704
COLD_SINKHOLE,114436,0.0175,0,0.0000,-409024,-400512
COLD_SINKHOLE_BORDER,308491,0.0471,271926,0.0415,-409088,-400480
COLD_STEPPE,3385220,0.5165,8,0.0000,-408512,-408992
CORAL_COVES,0,0.0000,8653769,1.3205,-405696,-407936
CORAL_OCEAN,2524510,0.3852,1437328,0.2193,-409600,-395872
CORAL_OCEAN_SLOPES,2620185,0.3998,1499313,0.2288,-409600,-396320
CORAL_OCEAN_TRENCH,75138,0.0115,42900,0.0065,-409600,-395840
DARK_FOREST,3537528,0.5398,0,0.0000,-409152,-404160
DARK_OAK_CAVERNS,0,0.0000,17311680,2.6416,-408000,-409600
DARK_OAK_WOODLANDS,3661132,0.5586,402,0.0001,-408288,-405984
DEEP_DARK,0,0.0000,9977511,1.5224,-408672,-409600
DEEP_DARK_GROVE,0,0.0000,1945058,0.2968,-408096,-404000
DEEP_DEPTHS,2714274,0.4142,2370475,0.3617,-407968,-402912
DEEP_DEPTHS_TRENCH,80896,0.0123,70784,0.0108,-408096,-402848
DEEP_OCEAN,2708026,0.4132,2365074,0.3609,-407744,-404000
DENSELY_WOODED_HIGHLANDS,1037609,0.1583,0,0.0000,-408320,-409536
DESERT,4541198,0.6929,0,0.0000,-407936,-393056
DESERT_EXTINCT_VOLCANO,1219775,0.1861,0,0.0000,-407040,-409440
DESERT_MESA,2773874,0.4233,0,0.0000,-405664,-409120
DESERT_PILLARS,452234,0.0690,0,0.0000,-409248,-319040
DESERT_SINKHOLE,335556,0.0512,0,0.0000,-406656,-408576
DESERT_SINKHOLE_BORDER,915725,0.1397,0,0.0000,-406720,-408672
DESERT_SPIKES,450781,0.0688,0,0.0000,-409600,-388320
DESERT_SPIKES_BLACK,4490038,0.6851,0,0.0000,-407520,-407840
