Biome,Surface Count,Surface %,Subsurface Count,Subsurface %,First X,First Z
ABYSSAL_ALLEYS,16926994,2.5829,16903525,2.5793,-407776,-404640
ACACIA_CAVERNS,0,0.0000,25850406,3.9445,-407648,-409600
ALIEN_MARSH,1641562,0.2505,0,0.0000,-406368,-401312
ALPINE_ASCENDANCY,1243220,0.1897,0,0.0000,-408928,-409312
AMETHYST_HOLLOW,0,0.0000,8691932,1.3263,-405632,-407424
ANDESITE_MINES,0,0.0000,8647703,1.3195,-405984,-409088
ARCTIC_ARCHES,1323169,0.2019,239573,0.0366,-405952,-400128
ARCTIC_MESA,866245,0.1322,130854,0.0200,-409216,-398304
ARID_ARBORETUM,1550018,0.2365,1224852,0.1869,-407424,-392448
ARID_PALE_GARDEN,663044,0.1012,0,0.0000,-406496,-361248
ARID_SPIKES,3437346,0.5245,0,0.0000,-405568,-408672
ASPEN_FOREST,2476559,0.3779,9,0.0000,-407616,-406880
AUTUMNAL_CAVERNS,0,0.0000,17332458,2.6447,-407936,-409568
AUTUMNAL_WOODLANDS,2096464,0.3199,376,0.0001,-406240,-405760
AZALEA_FOREST,2611756,0.3985,0,0.0000,-406880,-404384
BADLANDS,1743689,0.2661,0,0.0000,-405760,-408864
BADLANDS_BALCONIES,1743440,0.2660,0,0.0000,-407104,-400832
BADLANDS_BUTTES,2255521,0.3442,0,0.0000,-405696,-409440
BAMBOO_BASIN,1547792,0.2362,1328738,0.2027,-408320,-387808
BAMBOO_JUNGLE,3305395,0.5044,0,0.0000,-405696,-392160
BARE_BOULDERFIELDS,913390,0.1394,769327,0.1174,-406720,-409600
BEACH,2171321,0.3313,0,0.0000,-408864,-407520
BIRCH_CAVERNS,0,0.0000,17291577,2.6385,-405696,-409600
BIRCH_FOREST,2810269,0.4288,1,0.0000,-408960,-407968
BIRCH_WOODLANDS,3143061,0.4796,530,0.0001,-405536,-403200
BITTER_HEIGHTS,1660486,0.2534,186189,0.0284,-407904,-376064
BLACK_ARID_PALE_GARDEN,349715,0.0534,0,0.0000,-405792,-304448
BLACK_DESERT_BOG,601041,0.0917,0,0.0000,-409600,-302304
BLACK_FOREST,3989269,0.6087,38,0.0000,-408992,-409600
BLACK_SAND_BEACH,2179867,0.3326,18879,0.0029,-407616,-404960
BOREAL_EXTINCT_VOLCANO,2085438,0.3182,0,0.0000,-409600,-407136
BOREAL_MESA,3156914,0.4817,1304,0.0002,-408896,-406240
BOREAL_SHRUBLAND,2536249,0.3870,6,0.0000,-408128,-406816
BOREAL_SINKHOLE,403310,0.0615,0,0.0000,-406016,-374848
BOREAL_SINKHOLE_BORDER,1091980,0.1666,981605,0.1498,-406112,-374912
BROADLEAF_FOREST,4235523,0.6463,0,0.0000,-405760,-406560
CANOPY_CASCADES,5612466,0.8564,0,0.0000,-405568,-392384
CARVING_CREAKS,2392883,0.3651,2092828,0.3193,-407232,-403680
CHAPARRAL,5485804,0.8371,0,0.0000,-409600,-408320
CLOUD_FOREST,5619363,0.8574,0,0.0000,-407296,-403680
COLD_DEEP_DEPTHS,2607431,0.3979,2283736,0.3485,-409504,-406848
COLD_DEEP_DEPTHS_TRENCH,78150,0.0119,68518,0.0105,-409504,-400928
COLD_DEEP_OCEAN,2713647,0.4141,2381746,0.3634,-409600,-401056
COLD_DEEP_OCEAN_VENTS,75180,0.0115,42735,0.0065,-408352,-401568
COLD_DESERT_MESA,3820307,0.5829,5893,0.0009,-408512,-405824
COLD_EXTINCT_VOLCANO,504291,0.0769,0,0.0000,-408064,-335136
COLD_ISLAND_SHALLOWS,998524,0.1524,523051,0.0798,-409600,-407232
COLD_OCEAN,7650497,1.1674,4323642,0.6597,-409600,-406464
COLD_OCEAN_OVERHANGS,150422,0.0230,30818,0.0047,-407552,-399424
COLD_OCEAN_SLOPES,7761151,1.1843,4454225,0.6797,-409472,-406816
COLD_OCEAN_TRENCH,152230,0.0232,85974,0.0131,-409600,-404704
COLD_SINKHOLE,98863,0.0151,0,0.0000,-409024,-400512
COLD_SINKHOLE_BORDER,265719,0.0405,233489,0.0356,-409088,-400480
COLD_STEPPE,2574543,0.3928,5,0.0000,-406560,-407264
CORAL_COVES,0,0.0000,8641724,1.3186,-405696,-407936
CORAL_OCEAN,2970577,0.4533,1694930,0.2586,-409600,-395872
CORAL_OCEAN_SLOPES,3082171,0.4703,1762030,0.2689,-407552,-404000
CORAL_OCEAN_TRENCH,88083,0.0134,50324,0.0077,-409600,-395840
DARK_FOREST,4234167,0.6461,0,0.0000,-407520,-409600
DARK_OAK_CAVERNS,0,0.0000,17285138,2.6375,-408000,-409600
DARK_OAK_WOODLANDS,2846412,0.4343,465,0.0001,-408288,-405984
DEEP_DARK,0,0.0000,9977513,1.5224,-408672,-409600
DEEP_DARK_GROVE,0,0.0000,2281231,0.3481,-407712,-409152
DEEP_DEPTHS,2480451,0.3785,2167356,0.3307,-407968,-402912
DEEP_DEPTHS_TRENCH,74190,0.0113,64896,0.0099,-408096,-402848
DEEP_OCEAN,2480037,0.3784,2167575,0.3307,-408896,-403520
DENSELY_WOODED_HIGHLANDS,1241029,0.1894,0,0.0000,-408320,-409536
DESERT,4056027,0.6189,0,0.0000,-406464,-408736
DESERT_EXTINCT_VOLCANO,1128273,0.1722,0,0.0000,-408544,-391328
DESERT_MESA,2607337,0.3978,9,0.0000,-405664,-409120
DESERT_PILLARS,415654,0.0634,0,0.0000,-409248,-319040
DESERT_SINKHOLE,312847,0.0477,0,0.0000,-406656,-408576
DESERT_SINKHOLE_BORDER,858721,0.1310,0,0.0000,-406720,-408672
DESERT_SPIKES,411760,0.0628,0,0.0000,-409600,-388320
DESERT_SPIKES_BLACK,3989795,0.6088,0,0.0000,-408576,-389600
DESERT_SPIKES_GOLD,3504822,0.5348,0,0.0000,-406912,-408288
DESERT_TERRACES,396562,0.0605,0,0.0000,-409600,-388544
DIKSAM_PLATEAU,820822,0.1252,0,0.0000,-408512,-390560
DIORITE_MINES,0,0.0000,8627169,1.3164,-409600,-409088
DRIPSTONE_BARRENS,674799,0.1030,516441,0.0788,-408736,-399392
DRY_FIR_FIELDS,5319346,0.8117,7,0.0000,-406464,-409376
DRY_PALM_FOREST,1523605,0.2325,0,0.0000,-407296,-384480
DRY_TEMPERATE_MOUNTAINS,2044109,0.3119,0,0.0000,-406400,-409376
DRY_TEMPERATE_WHITE_MOUNTAINS,1951106,0.2977,0,0.0000,-408128,-409248
DRY_WOODLANDS,5869208,0.8956,0,0.0000,-407936,-403808
DRYBRUSH,2153644,0.3286,0,0.0000,-405728,-409600
ENCHANTED_CAVERNS,0,0.0000,17308803,2.6411,-408096,-409216
ENCHANTED_WOODLANDS,465745,0.0711,0,0.0000,-406720,-354624
ERUPTED_VOLCANO,3480129,0.5310,0,0.0000,-405600,-409600
FIR_FIELDS,1576329,0.2405,1,0.0000,-406976,-405856
FIR_HIGHLANDS,605199,0.0923,191,0.0000,-407712,-391808
FIRMIHIN_FOREST,1848670,0.2821,0,0.0000,-406688,-409024
FLOWERING_FOREST,6217696,0.9487,0,0.0000,-407264,-404672
FOLIAGE_FORTRESS_INNER,230897,0.0352,0,0.0000,-406400,-404000
FOLIAGE_FORTRESS_MIDDLE,1233311,0.1882,0,0.0000,-406336,-404064
FOLIAGE_FORTRESS_OUTER,1724547,0.2631,0,0.0000,-406368,-404096
FOSSILIZED_FENLANDS,5739943,0.8758,23,0.0000,-408416,-409600
FRIGID_WASTELANDS,2515209,0.3838,501,0.0001,-409056,-409600
FROSTBOUND_CHASMS,568830,0.0868,434381,0.0663,-406144,-354528
FROSTCOATED_BOG,3749758,0.5722,0,0.0000,-405696,-400320
FROSTY_FINGERS,2735095,0.4173,358928,0.0548,-405664,-405216
FROZEN_BEACH,138295,0.0211,5311,0.0008,-406240,-405408
FROZEN_DEEP_DEPTHS,652359,0.0995,571106,0.0871,-409536,-401248
FROZEN_DEEP_DEPTHS_TRENCH,19721,0.0030,17190,0.0026,-409376,-401248
FROZEN_DEEP_OCEAN,677497,0.1034,591352,0.0902,-409312,-400992
FROZEN_DEEP_OCEAN_VENTS,55148,0.0084,15453,0.0024,-405888,-405440
FROZEN_FUNGI,2287692,0.3491,2686,0.0004,-405824,-405504
FROZEN_ISLAND_SHALLOWS,243732,0.0372,128817,0.0197,-409088,-400608
FROZEN_MARSH,1425390,0.2175,495,0.0001,-408800,-398944
FROZEN_OCEAN,4139685,0.6317,1296554,0.1978,-405920,-405472
FROZEN_OCEAN_OVERHANGS,84446,0.0129,13519,0.0021,-406016,-364960
FROZEN_OCEAN_SLOPES,1447047,0.2208,834100,0.1273,-408832,-400512
FROZEN_OCEAN_TRENCH,109139,0.0167,30821,0.0047,-405856,-405088
FROZEN_SPIRES,2545870,0.3885,328431,0.0501,-405536,-404384
FUNGAL_CAVERNS,0,0.0000,8701601,1.3278,-406848,-406976
FUNGAL_UNDERGROWTH,0,0.0000,8620266,1.3153,-409088,-407968
GLACIAL_OVERHANGS,1038101,0.1584,47630,0.0073,-405632,-400320
GLOOMY_GORGE,3299575,0.5035,0,0.0000,-406464,-409536
GRANITE_MINES,0,0.0000,8598063,1.3120,-408608,-409600
GRASS_SAVANNA,6415558,0.9789,0,0.0000,-408096,-403648
HIGHLANDS,1234156,0.1883,0,0.0000,-407008,-401696
HONEY_GROTTO,0,0.0000,8608020,1.3135,-408992,-409600
ICE_CAPS,1661924,0.2536,463427,0.0707,-407744,-375936
ICE_SPIKES,2473104,0.3774,317209,0.0484,-405760,-404832
ICEBERG_OCEAN,10615644,1.6198,6074915,0.9270,-409312,-407040
ICEBOUND_JUNGLE,2361250,0.3603,0,0.0000,-405664,-404064
ICY_INCISIONS,4779445,0.7293,0,0.0000,-409248,-408896
INFERNO_ISLES,0,0.0000,17153660,2.6174,-408320,-409600
ISLAND_SHALLOWS,999169,0.1525,537411,0.0820,-405952,-402208
JUNGLE,2500314,0.3815,0,0.0000,-407360,-403360
JUNGLE_CAVERNS,0,0.0000,17251834,2.6324,-407424,-409600
JUNGLE_CAVES,0,0.0000,25942904,3.9586,-408384,-409600
KELP_FOREST,5704717,0.8705,1099010,0.1677,-407968,-404384
KELP_FOREST_GRAVEL,13489642,2.0584,2625733,0.4007,-409504,-408384
LAND_GLACIER,2554690,0.3898,323030,0.0493,-405952,-405280
LAVA_TUBES,0,0.0000,3162518,0.4826,-405536,-409504
LAVENDER_CAVERNS,0,0.0000,34668210,5.2899,-405696,-409440
LAVENDER_CRAGS,758070,0.1157,203,0.0000,-409600,-385920
LAVENDER_FIELDS,813324,0.1241,0,0.0000,-408672,-398336
LUSH_CAVES,0,0.0000,8636733,1.3179,-409568,-408096
LUSH_LOOPS,3701835,0.5649,0,0.0000,-407360,-403264
LUSH_SEA_CAVES,213368,0.0326,0,0.0000,-405760,-392768
MANGROVE_CAVERNS,0,0.0000,8608910,1.3136,-408864,-407456
