Biome,Surface Count,Surface %,Subsurface Count,Subsurface %,First X,First Z
ABYSSAL_ALLEYS,17274940,2.6359,17251248,2.6323,-407776,-404640
ACACIA_CAVERNS,0,0.0000,25792701,3.9357,-407648,-409600
ALIEN_MARSH,1333261,0.2034,0,0.0000,-406912,-409504
ALPINE_ASCENDANCY,1403793,0.2142,0,0.0000,-409408,-375392
AMETHYST_HOLLOW,0,0.0000,8675098,1.3237,-405632,-407424
ANDESITE_MINES,0,0.0000,8624110,1.3159,-405984,-409088
ARCTIC_ARCHES,1529597,0.2334,278809,0.0425,-405952,-400128
ARCTIC_MESA,983908,0.1501,132247,0.0202,-409216,-398304
ARID_ARBORETUM,1541874,0.2353,1223411,0.1867,-406912,-408896
ARID_PALE_GARDEN,663074,0.1012,0,0.0000,-406496,-361248
ARID_SPIKES,3857497,0.5886,0,0.0000,-405568,-408672
ASPEN_FOREST,3041829,0.4641,2,0.0000,-409344,-408064
AUTUMNAL_CAVERNS,0,0.0000,17288749,2.6381,-407936,-409568
AUTUMNAL_WOODLANDS,1916455,0.2924,226,0.0000,-406240,-405760
AZALEA_FOREST,2992592,0.4566,0,0.0000,-408704,-404128
BADLANDS,1957529,0.2987,0,0.0000,-405760,-408864
BADLANDS_BALCONIES,1525196,0.2327,0,0.0000,-407104,-400832
BADLANDS_BUTTES,2521296,0.3847,0,0.0000,-405696,-409440
BAMBOO_BASIN,3181516,0.4855,2724408,0.4157,-407360,-403264
BAMBOO_JUNGLE,2035451,0.3106,0,0.0000,-407680,-383264
BARE_BOULDERFIELDS,1134065,0.1730,960394,0.1465,-409056,-409600
BEACH,2220896,0.3389,0,0.0000,-409152,-405024
BIRCH_CAVERNS,0,0.0000,17257080,2.6332,-405696,-409600
BIRCH_FOREST,3101594,0.4733,0,0.0000,-406048,-409600
BIRCH_WOODLANDS,2883861,0.4400,353,0.0001,-405536,-403200
BITTER_HEIGHTS,1883998,0.2875,186280,0.0284,-409600,-386336
BLACK_ARID_PALE_GARDEN,349727,0.0534,0,0.0000,-405792,-304448
BLACK_DESERT_BOG,676882,0.1033,0,0.0000,-409600,-324352
BLACK_FOREST,4142853,0.6321,7,0.0000,-409024,-407136
BLACK_SAND_BEACH,2180350,0.3327,18878,0.0029,-407616,-404960
BOREAL_EXTINCT_VOLCANO,2342992,0.3575,0,0.0000,-409600,-407136
BOREAL_MESA,3565478,0.5440,1064,0.0002,-408896,-406240
BOREAL_SHRUBLAND,3413517,0.5209,3,0.0000,-409600,-408320
BOREAL_SINKHOLE,450858,0.0688,0,0.0000,-406016,-374848
BOREAL_SINKHOLE_BORDER,1221812,0.1864,1098157,0.1676,-406112,-374912
BROADLEAF_FOREST,3504517,0.5347,0,0.0000,-409184,-405216
CANOPY_CASCADES,4334547,0.6614,0,0.0000,-405568,-392384
CARVING_CREAKS,2392156,0.3650,2092100,0.3192,-407232,-403680
CHAPARRAL,3421519,0.5221,0,0.0000,-407232,-407200
CLOUD_FOREST,3621626,0.5526,0,0.0000,-405984,-384160
COLD_DEEP_DEPTHS,2936080,0.4480,2571237,0.3923,-409504,-406848
COLD_DEEP_DEPTHS_TRENCH,87837,0.0134,76909,0.0117,-409504,-400928
COLD_DEEP_OCEAN,3043673,0.4644,2670315,0.4075,-409600,-401056
COLD_DEEP_OCEAN_VENTS,84479,0.0129,47986,0.0073,-406048,-403360
COLD_DESERT_MESA,4351661,0.6640,4786,0.0007,-408512,-405824
COLD_EXTINCT_VOLCANO,581129,0.0887,0,0.0000,-408064,-335136
COLD_ISLAND_SHALLOWS,1121427,0.1711,587394,0.0896,-409600,-407232
COLD_OCEAN,8603498,1.3128,4861949,0.7419,-409600,-406464
COLD_OCEAN_OVERHANGS,166730,0.0254,34875,0.0053,-407552,-399424
COLD_OCEAN_SLOPES,8717802,1.3302,4999712,0.7629,-409472,-406816
COLD_OCEAN_TRENCH,171106,0.0261,96405,0.0147,-409600,-404704
COLD_SINKHOLE,114436,0.0175,0,0.0000,-409024,-400512
COLD_SINKHOLE_BORDER,308506,0.0471,271934,0.0415,-409088,-400480
COLD_STEPPE,3385323,0.5166,8,0.0000,-408512,-408992
CORAL_COVES,0,0.0000,8622141,1.3156,-405696,-407936
CORAL_OCEAN,2524537,0.3852,1437339,0.2193,-409600,-395872
CORAL_OCEAN_SLOPES,2620076,0.3998,1499271,0.2288,-409600,-396320
CORAL_OCEAN_TRENCH,75144,0.0115,42900,0.0065,-409600,-395840
DARK_FOREST,3537516,0.5398,0,0.0000,-409152,-404160
DARK_OAK_CAVERNS,0,0.0000,17252936,2.6326,-408000,-409600
DARK_OAK_WOODLANDS,3661130,0.5586,399,0.0001,-408288,-405984
DEEP_DARK,0,0.0000,9977513,1.5224,-408672,-409600
DEEP_DARK_GROVE,0,0.0000,1830475,0.2793,-408096,-404000
DEEP_DEPTHS,2714109,0.4141,2370361,0.3617,-407968,-402912
DEEP_DEPTHS_TRENCH,80881,0.0123,70772,0.0108,-408096,-402848
DEEP_OCEAN,2708122,0.4132,2365143,0.3609,-407744,-404000
DENSELY_WOODED_HIGHLANDS,1037747,0.1583,0,0.0000,-408320,-409536
DESERT,4541234,0.6929,0,0.0000,-407936,-393056
DESERT_EXTINCT_VOLCANO,1219534,0.1861,0,0.0000,-407040,-409440
DESERT_MESA,2773637,0.4232,0,0.0000,-405664,-409120
DESERT_PILLARS,452236,0.0690,0,0.0000,-409248,-319040
DESERT_SINKHOLE,335464,0.0512,0,0.0000,-406656,-408576
DESERT_SINKHOLE_BORDER,915670,0.1397,0,0.0000,-406720,-408672
DESERT_SPIKES,450789,0.0688,0,0.0000,-409600,-388320
DESERT_SPIKES_BLACK,4489906,0.6851,0,0.0000,-407520,-407840
DESERT_SPIKES_GOLD,3894182,0.5942,0,0.0000,-406912,-408288
DESERT_TERRACES,436820,0.0667,0,0.0000,-409600,-388544
DIKSAM_PLATEAU,748661,0.1142,0,0.0000,-408512,-390560
